2025-02-18 11:10:05,585 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 108.723, raspberry_pi: 53.760 | Reason: High queue length (134)
2025-02-18 11:10:05,723 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 108.694, raspberry_pi: 53.760 | Reason: High queue length (134)
2025-02-18 11:10:05,909 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 108.362, raspberry_pi: 53.760 | Reason: High queue length (134)
2025-02-18 11:10:06,045 - INFO - Time: 11:10:06 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 108.395, raspberry_pi: 53.760 | Reason: High queue length (134)
2025-02-18 11:10:06,167 - INFO - Time: 11:10:06 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 108.556, raspberry_pi: 53.760 | Reason: High queue length (134)
2025-02-18 11:10:06,398 - INFO - Time: 11:10:06 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 101.867, raspberry_pi: 53.760 | Reason: High queue length (141)
2025-02-18 11:10:06,599 - INFO - Time: 11:10:06 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 101.383, raspberry_pi: 53.760 | Reason: High queue length (141)
2025-02-18 11:10:06,786 - INFO - Time: 11:10:06 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 101.074, raspberry_pi: 53.760 | Reason: High queue length (141)
2025-02-18 11:10:06,986 - INFO - Time: 11:10:06 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 100.817, raspberry_pi: 53.760 | Reason: High queue length (141)
2025-02-18 11:10:07,155 - INFO - Time: 11:10:07 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 100.738, raspberry_pi: 53.760 | Reason: High queue length (141)
2025-02-18 11:10:07,326 - INFO - Time: 11:10:07 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 96.860, raspberry_pi: 53.760 | Reason: High queue length (146)
2025-02-18 11:10:07,479 - INFO - Time: 11:10:07 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 96.924, raspberry_pi: 53.760 | Reason: High queue length (146)
