time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
2024-11-01T18:41:26.567360,04:09:04,100,100,100,100,0.3467131778362452,0.016151444,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,43.5,44,42,43.75,3049,0,4629,OFF,MAXN
2024-11-01T18:41:27.534763,04:09:05,99,99,100,100,0.346590987,0.016151444,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,44,43.5,41.5,43.5,3129,0,4855,OFF,MAXN
2024-11-01T18:41:28.503003,04:09:06,100,98,99,100,0.3465377755441905,0.016150489950647308,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,43.5,44,42,44,3014,0,4742,OFF,MAXN
2024-11-01T18:41:29.559871,04:09:07,100,99,97,100,0.34650427173559584,0.016150489950647308,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44,42,44,3129,0,4782,OFF,MAXN
2024-11-01T18:41:30.524270,04:09:08,99,100,99,99,0.34652693607670404,0.016149536275421407,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,43.5,44.5,42.5,44,3170,0,4895,OFF,MAXN
2024-11-01T18:41:31.550027,04:09:09,99,100,100,100,0.3467713167982184,0.016149536275421407,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,44,42,44,3054,0,5096,OFF,MAXN
2024-11-01T18:41:32.553182,04:09:10,100,100,100,100,0.3466570096865423,0.016148582600195503,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,43.5,44,42,44.5,3129,0,4669,OFF,MAXN
2024-11-01T18:41:33.581582,04:09:11,98,99,100,100,0.3465850750386772,0.016147629,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,43.5,44,42,44.25,3129,0,4943,OFF,MAXN
2024-11-01T18:41:34.559123,04:09:12,100,100,100,100,0.3466777032153802,0.016147629,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,44,44,42,44,3210,0,5136,OFF,MAXN
2024-11-01T18:41:35.572715,04:09:13,99,100,100,100,0.3465525566362176,0.016146675,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,43.5,44,42,44.25,3014,0,4589,OFF,MAXN
2024-11-01T18:41:36.560373,04:09:14,100,99,99,100,0.3467062799932992,0.016146675,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44,42,44.25,3129,0,4903,OFF,MAXN
2024-11-01T18:41:37.548338,04:09:15,99,99,100,99,0.3467979227638671,0.016145722,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,43.5,44,42,44.25,3014,0,5056,OFF,MAXN
2024-11-01T18:41:38.553794,04:09:16,100,100,99,100,0.34673584217735337,0.016145722,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44,42,44.25,3009,0,4669,OFF,MAXN
2024-11-01T18:41:39.514113,04:09:17,100,99,99,100,0.34682748494792126,0.016144767899291895,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44,42,44.25,3014,0,4863,OFF,MAXN
2024-11-01T18:41:40.498528,04:09:18,99,99,100,98,0.3466796740276505,0.016144767899291895,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44,42,44.25,3054,0,4662,OFF,MAXN
2024-11-01T18:41:41.537275,04:09:19,100,100,99,100,0.3467023383687587,0.016143814224065994,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44.5,42.5,44.75,3089,0,4702,OFF,MAXN
2024-11-01T18:41:42.521945,04:09:20,100,99,99,99,0.346854091,0.016142860548840093,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,44,44.5,42.5,44.5,3054,0,4863,OFF,MAXN
2024-11-01T18:41:43.550077,04:09:21,99,100,100,100,0.34670923621170463,0.016142860548840093,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44.5,42.5,44.5,2974,0,4855,OFF,MAXN
2024-11-01T18:41:44.499548,04:09:22,100,100,99,99,0.34664025778224494,0.016141906873614192,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44.5,42.5,45,3054,0,4589,OFF,MAXN
2024-11-01T18:41:45.559652,04:09:23,99,100,100,100,0.34663730156383954,0.016140953198388288,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44.5,44.5,42.5,44.75,3170,0,4823,OFF,MAXN
2024-11-01T18:41:46.553559,04:09:24,99,100,100,100,0.3465762063834609,0.016140953198388288,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44.5,44.5,42.5,45,3014,0,4895,OFF,MAXN
2024-11-01T18:41:47.544715,04:09:25,100,99,99,98,0.346697411,0.016139999523162387,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44.5,44,42,44.75,2893,0,4782,OFF,MAXN
2024-11-01T18:41:48.557531,04:09:26,100,99,99,100,0.3467585065184616,0.016139999523162387,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48,44,44.5,42.5,44.75,3250,0,4863,OFF,MAXN
2024-11-01T18:41:49.539768,04:09:27,99,99,100,99,0.346697411,0.016139045847936486,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,44.5,44.5,42.5,44.75,3049,0,4895,OFF,MAXN
2024-11-01T18:41:50.547000,04:09:28,100,100,100,100,0.3466648929356234,0.016139045847936486,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,44.5,44.5,42.5,44.5,2974,0,4935,OFF,MAXN
2024-11-01T18:41:51.584396,04:09:29,99,100,100,100,0.3467634335491373,0.016138092172710585,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,44.5,44.5,42.5,44.75,3210,0,4863,OFF,MAXN
2024-11-01T18:41:52.549937,04:09:30,100,100,100,100,0.34663336,0.016138092172710585,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,49,44,45,43,45,3170,0,5016,OFF,MAXN
2024-11-01T18:41:53.547390,04:09:31,100,100,100,100,0.34663336,0.016137138,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,44.5,45,43,45.25,2974,0,4742,OFF,MAXN
2024-11-01T18:41:54.565955,04:09:32,100,100,100,98,0.3466934697135424,0.016137138,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,45,45,43,45,2969,0,4863,OFF,MAXN
2024-11-01T18:41:55.542209,04:09:33,100,100,100,99,0.34665996590494774,0.016136185,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,45,45,43,44.75,2974,0,4742,OFF,MAXN
2024-11-01T18:41:56.508628,04:09:34,99,100,100,100,0.3468127038558942,0.016136185,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,49,45,45,43,45,3170,0,4709,OFF,MAXN
2024-11-01T18:41:57.569767,04:09:35,100,100,99,100,0.34663730156383954,0.016135231,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,44.5,45,43,44.75,3094,0,5024,OFF,MAXN
2024-11-01T18:41:58.529693,04:09:36,100,100,100,100,0.34660675397365026,0.016134277471806978,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,48.5,45,44.5,42.5,44.75,3129,0,4935,OFF,MAXN
2024-11-01T18:41:59.565607,04:09:37,100,99,100,99,0.3466589804988126,0.016134277471806978,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,49,44.5,45,43,45,3054,0,4863,OFF,MAXN
2024-11-01T18:42:00.557683,04:09:38,100,100,100,100,0.34659689991229886,0.016133323796581073,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,49,44.5,45,43,45,2893,0,4935,OFF,MAXN
2024-11-01T18:42:01.544333,04:09:39,100,98,100,100,0.34665602428040715,0.016132370121355172,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,49,44.5,45,43,45.25,2974,0,4983,OFF,MAXN
